Codigo_muestra;Codigo_individuo;Especie;Familia;Type;Pairs;Fuente;Localidad;Coord_X;Coord_Y;Fecha_recoleccion;Muestra_general;Organo;Muestreo;Individuo;Num_Org;Leaf_area;Petiole_area;Leaf_area_with_petiole;Leaf_thickness;Leaf_fresh_weight;Petiole_fresh_weight;Leaf_fresh_weight_with_petiole;Leaf_dry_weight;Petiole_dry_weight;Leaf_dry_weight_with_petiole;SLA_without_petiole;SLA_with_petiole;1/SLA_without_petiole;1/SLA_with_petiole;Leaf_dry_weight_per_fresh_weight_without_petiole;Leaf_dry_weight_per_fresh_weight_with_petiole;Diametro_flor;Eje_max_flor;Eje_min_flor;Eje_3_flor;Volumen_flor;Alt_max_rep;Alt_max_veg;Eje_max_planta;Eje_min_planta;Volumen_planta_veg;Volumen_planta_rep;Volumen_inflorescencia
ASPCYN_MOR.2.H2.;ASPCYN_MOR.2.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;2;2;0.070000;;0.070000;0.240000;0.001685;;0.001685;0.000740;;0.000740;94.594595;94.594595;0.010571;0.010571;0.439169;0.439169;;;;;;;;;;;;
ASPCYN_MOR.2.H3.;ASPCYN_MOR.2.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;2;3;0.074500;;0.074500;0.260000;0.001685;;0.001685;0.000940;;0.000940;79.255319;79.255319;0.012617;0.012617;0.557864;0.557864;;;;;;;;;;;;
ASPCYN_MOR.2.H4.;ASPCYN_MOR.2.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;2;4;0.058000;;0.058000;0.260000;0.001380;;0.001380;0.000680;;0.000680;85.294118;85.294118;0.011724;0.011724;0.492754;0.492754;;;;;;;;;;;;
ASPCYN_MOR.2.H5.;ASPCYN_MOR.2.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;2;5;0.073500;;0.073500;0.290000;0.001840;;0.001840;0.000915;;0.000915;80.327869;80.327869;0.012449;0.012449;0.497283;0.497283;;;;;;;;;;;;
ASPCYN_MOR.3.H1.;ASPCYN_MOR.3.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;3;1;0.065000;;0.065000;0.180000;0.001185;;0.001185;0.000610;;0.000610;106.557377;106.557377;0.009385;0.009385;0.514768;0.514768;;;;;;;;;;;;
ASPCYN_MOR.3.H2.;ASPCYN_MOR.3.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;3;2;0.080500;;0.080500;0.190000;0.001375;;0.001375;0.000655;;0.000655;122.900763;122.900763;0.008137;0.008137;0.476364;0.476364;;;;;;;;;;;;
ASPCYN_MOR.3.H3.;ASPCYN_MOR.3.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;3;3;0.057000;;0.057000;0.220000;0.000935;;0.000935;0.000535;;0.000535;106.542056;106.542056;0.009386;0.009386;0.572193;0.572193;;;;;;;;;;;;
ASPCYN_MOR.3.H4.;ASPCYN_MOR.3.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;3;4;0.054000;;0.054000;0.190000;0.000890;;0.000890;0.000485;;0.000485;111.340206;111.340206;0.008981;0.008981;0.544944;0.544944;;;;;;;;;;;;
ASPCYN_MOR.3.H5.;ASPCYN_MOR.3.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;3;5;0.054500;;0.054500;0.140000;0.000750;;0.000750;0.000495;;0.000495;110.101010;110.101010;0.009083;0.009083;0.660000;0.660000;;;;;;;;;;;;
ASPCYN_MOR.4.H1.;ASPCYN_MOR.4.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;4;1;0.106500;;0.106500;0.180000;0.001835;;0.001835;0.001105;;0.001105;96.380090;96.380090;0.010376;0.010376;0.602180;0.602180;;;;;;;;;;;;
